lcode,municipality
20318,Mukhiyapatti Musaharmiya Rural Municipality
20306,Laxminiya Rural Municipality
20313,Bideha Urban Municipality
20310,Shahidnagar Urban Municipality
20309,Sabaila Urban Municipality
20308,Hanspur Urban Municipality
20402,Gaushala Urban Municipality
20415,Jaleshwor Urban Municipality
20413,Pipara Rural Municipality
20412,Mahottari Rural Municipality
20409,Samsi Rural Municipality
20403,Sonama Rural Municipality
20411,Ekadara Rural Municipality
20404,Aurahi Urban Municipality
20401,Bardibas Urban Municipality
20407,Balawa Urban Municipality
20405,Bhagaha Urban Municipality
20414,Matihani Urban Municipality
20410,Manara Sisaba Urban Municipality
20408,Ramgopalpur Urban Municipality
20406,Loharpatti Urban Municipality
20506,Ishworpur Urban Municipality
20510,Chandranagar Rural Municipality
20504,Barahathawa Urban Municipality
20503,Bagmati Urban Municipality
20520,Malangawa Urban Municipality
20501,Lalbandi Urban Municipality
20502,Hariban Urban Municipality
20511,Kabilashi Urban Municipality
20519,Kaudena Rural Municipality
20517,Godaita Urban Municipality
20512,Chakraghatta Rural Municipality
20514,Dhankaul Rural Municipality
20508,Parsa Rural Municipality
20516,Balara Urban Municipality
20513,Basbariya Rural Municipality
20509,Brahmapuri Rural Municipality
20515,Ramnagar Rural Municipality
20518,Bishnu Rural Municipality
20505,Haripur Urban Municipality
20507,Haripurwa Urban Municipality
20608,Garuda Urban Municipality
20601,Chandrapur Urban Municipality
20618,Ishanath Urban Municipality
20604,Katahariya Urban Municipality
20606,Gadhimai Urban Municipality
20602,Gujara Urban Municipality
20617,Gaur Urban Municipality
20615,Durga Bhagawati Rural Municipality
20609,Dewahi Gonahi Urban Municipality
20612,Paroha Urban Municipality
20603,Phatuwa Bijayapur Urban Municipality
20611,Boudhimai Urban Municipality
20607,Madhav Narayan Urban Municipality
20610,Maulapur Urban Municipality
20614,Yamunamai Rural Municipality
20616,Rajdevi Urban Municipality
20613,Rajpur Urban Municipality
20605,Brindaban Urban Municipality
20711,Aadarsha Kotwal Rural Municipality
20709,Karaiyamai Rural Municipality
20708,Kalaiya Sub-Metropolitian City
20702,Kolhabi Urban Municipality
20703,Jitpur Simara Sub-Metropolitian City
20715,Devtal Rural Municipality
20701,Nijagadh Urban Municipality
20710,Baragadhi Rural Municipality
20714,Mahagadhimai Urban Municipality
20712,Simroungadh Urban Municipality
20716,Subarna Rural Municipality
20713,Pacharauta Urban Municipality
20704,Parawanipur Rural Municipality
20705,Prasauni Rural Municipality
20707,Pheta Rural Municipality
20706,Bishrampur Rural Municipality
20812,Chipaharmai Rural Municipality
20803,Jagarnathpur Rural Municipality
20811,Dhobini Rural Municipality
20813,Pakaha mainpur Rural Municipality
20814,Bindabasini Urban Municipality
20805,Sakhuwa Prasauni Rural Municipality
20810,Kalikamai Rural Municipality
20802,Jirabhawani Rural Municipality
20801,Thori (Subarnapur) Rural Municipality
20804,Partewa Sugauli Rural Municipality
20806,Parsagadhi Urban Municipality
20809,Pokhariya Urban Municipality
20808,Badarmai Urban Municipality
20807,Birgunj Metropolitian City
30103,Kalinchowk Rural Municipality
30101,Gaurishankar Rural Municipality
30105,Jiri Urban Municipality
30106,Tamakoshi Rural Municipality
30109,Bhimeshwor Urban Municipality
30107,Melung Rural Municipality
30102,Bigu Rural Municipality
30104,Baiteshwor Rural Municipality
30108,Shailung Rural Municipality
31001,Umakunda Rural Municipality
31006,Khandadevi Rural Municipality
31002,Gokulganga Rural Municipality
31007,Doramba Rural Municipality
31005,Manthali Urban Municipality
31004,Ramechhap Urban Municipality
31003,Likhu Tamakoshi Rural Municipality
31008,Sunapati Rural Municipality
31105,Kamalamai Urban Municipality
31104,Golanjor Rural Municipality
31107,Ghyanglekha Rural Municipality
31103,Tinpatan Rural Municipality
31101,Dudhouli Urban Municipality
31102,Phikkal Rural Municipality
31108,Marin Rural Municipality
31106,Sunkoshi Rural Municipality
31109,Hariharpurgadhi Rural Municipality
30303,Uttargaya Rural Municipality
30304,Kalika Rural Municipality
