Lcode,MunicipalityName,GaPa_NaPa
51105,Janaki Rural Municipality,Janaki
51107,Duduwa Rural Municipality,Duduwa
51108,Narainapur Rural Municipality,Narainapur
51106,Nepalganj Sub-Metropolitian City,Nepalganj
51103,Baijanath Rural Municipality,Baijanath
51101,Rapti Sonari Rural Municipality,Rapti Sonari
51207,Gulariya Urban Municipality,Gulariya
51204,Geruwa Rural Municipality,Geruwa
51203,Thakurbaba Urban Municipality,Thakurbaba
51208,Badhaiyatal Rural Municipality,Badhaiyatal
51202,Barbardiya Urban Municipality,Barbardiya
51201,Bansgadhi Urban Municipality,Bansgadhi
51206,Madhuwan Urban Municipality,Madhuwan
51205,Rajapur Urban Municipality,Rajapur
60801,Aathabisakot Urban Municipality,Aathabisakot
60806,Chaurjahari Urban Municipality,Chaurjahari
60805,Tribeni Rural Municipality,Tribeni
60803,Banphikot Rural Municipality,Banphikot
60804,Musikot Urban Municipality,Musikot
60802,Sanibheri Rural Municipality,Sanibheri
60910,Kapurkot Rural Municipality,Kapurkot
60908,Kalimati Rural Municipality,Kalimati
60902,Kumakh Rural Municipality,Kumakh
60906,Chhatreshwori Rural Municipality,Chhatreshwori
60904,Siddha Kumakh Rural Municipality,Siddha Kumakh
60909,Tribeni Rural Municipality,Tribeni
60901,Darma Rural Municipality,Darma
60903,Banagad Kupinde Urban Municipality,Banagad Kupinde
60905,Bagachour Urban Municipality,Bagachour
60907,Sharada Urban Municipality,Sharada
60107,Kaike Rural Municipality,Kaike
60108,Chharka Tangsong Rural Municipality,Chharka Tangsong
60103,Jagadulla Rural Municipality,Jagadulla
60106,Thulibheri Urban Municipality,Thulibheri
60101,Dolpo Buddha Rural Municipality,Dolpo Buddha
60105,Tripurasundari Urban Municipality,Tripurasundari
60104,Mudkechula Rural Municipality,Mudkechula
60102,Shey Phoksundo Rural Municipality,Shey Phoksundo
60204,Khatyad Rural Municipality,Khatyad
60202,Chhayanath Rara Urban Municipality,Chhayanath Rara
60201,Mugumakarmarog Rural Municipality,Mugumakarmarog
60203,Soru Rural Municipality,Soru
60402,Kanaka Sundari Rural Municipality,Kanaka Sundari
60405,Guthichaur Rural Municipality,Guthichaur
60404,Chandannath Urban Municipality,Chandannath
60406,Tatopani Rural Municipality,Tatopani
60407,Tila Rural Municipality,Tila
60401,Patarasi Rural Municipality,Patarasi
60403,Sinja Rural Municipality,Sinja
60408,Hima Rural Municipality,Hima
60509,Kalika Rural Municipality,Kalika
60506,Khandachakra Urban Municipality,Khandachakra
60507,Tilagupha Urban Municipality,Tilagupha
60505,Naraharinath Rural Municipality,Naraharinath
60502,Pachal Jharana Rural Municipality,Pachal Jharana
60501,Palata Rural Municipality,Palata
60508,Mahawai Rural Municipality,Mahawai
60503,Raskot Urban Municipality,Raskot
60504,Sanni Tribeni Rural Municipality,Sanni Tribeni
60306,Adanchuli Rural Municipality,Adanchuli
60302,Kharpunath Rural Municipality,Kharpunath
60301,Chankheli Rural Municipality,Chankheli
60307,Tanjakot Rural Municipality,Tanjakot
60304,Namkha Rural Municipality,Namkha
60305,Sarkegad Rural Municipality,Sarkegad
60303,Simkot Rural Municipality,Simkot
60702,Kushe Rural Municipality,Kushe
60704,Chhedagad Urban Municipality,Chhedagad
60703,Junichande Rural Municipality,Junichande
60707,Nalgad Urban Municipality,Nalgad
60701,Barekot Rural Municipality,Barekot
60706,Bheri Malika Urban Municipality,Bheri Malika
60705,Shivalaya Rural Municipality,Shivalaya
60605,Aathbis Urban Municipality,Aathbis
60611,Gurans Rural Municipality,Gurans
60606,Chamunda Bindrasaini Urban Municipality,Chamunda Bindrasaini
60604,Thantikandh Rural Municipality,Thantikandh
60610,Dungeshwor Rural Municipality,Dungeshwor
60607,Dullu Urban Municipality,Dullu
60608,Narayan Urban Municipality,Narayan
60601,Naumule Rural Municipality,Naumule
60609,Bhagawatimai Rural Municipality,Bhagawatimai
60603,Bhairabi Rural Municipality,Bhairabi
60602,Mahabu Rural Municipality,Mahabu
61004,Gurbhakot Urban Municipality,Gurbhakot
61002,Chingad Rural Municipality,Chingad
61009,Chaukune Rural Municipality,Chaukune
61008,Panchapuri Urban Municipality,Panchapuri
61007,Barahatal Rural Municipality,Barahatal
61006,Birendranagar Urban Municipality,Birendranagar
61005,Bheriganga Urban Municipality,Bheriganga
61003,Lekabeshi Urban Municipality,Lekabeshi
61001,Simta Rural Municipality,Simta
70102,Gaumul Rural Municipality,Gaumul
70107,Khaptad Chhededaha Rural Municipality,Khaptad Chhededaha
70109,Tribeni Urban Municipality,Tribeni
70105,Jagannath Rural Municipality,Jagannath
70106,Badimalika Urban Municipality,Badimalika
70108,Budhiganga Urban Municipality,Budhiganga
70103,Budhinanda Urban Municipality,Budhinanda
70104,Swamikartik Khapar Rural Municipality,Swamikartik Khapar
70101,Himali Rural Municipality,Himali
70708,Kamal bazar Urban Municipality,Kamal bazar
70705,Chaurpati Rural Municipality,Chaurpati
70709,Dhakari Rural Municipality,Dhakari
70710,Turmakhand Rural Municipality,Turmakhand
70701,Panchdebal Binayak Urban Municipality,Panchdebal Binayak
70707,Bannigadhi Jayagadh Rural Municipality,Bannigadhi Jayagadh
70706,Mangalsen Urban Municipality,Mangalsen
70703,Mellekh Rural Municipality,Mellekh
70702,Ramaroshan Rural Municipality,Ramaroshan
70704,Sanphebagar Urban Municipality,Sanphebagar
70201,Saipal Rural Municipality,Saipal
70209,Kedarsyun Rural Municipality,Kedarsyun
70212,Khaptad Chhanna Rural Municipality,Khaptad Chhanna
70207,Chhabis Pathibhara Rural Municipality,Chhabis Pathibhara
70206,Jayaprithbi Urban Municipality,Jayaprithbi
70204,Talkot Rural Municipality,Talkot
70211,Thalara Rural Municipality,Thalara
70208,Durgathali Rural Municipality,Durgathali
70202,Bungal Urban Municipality,Bungal
70205,Masta Rural Municipality,Masta
70210,Bitthadchir Rural Municipality,Bitthadchir
70203,Surma Rural Municipality,Surma
70603,Aadarsha Rural Municipality,Aadarsha
70606,K.I. Singh Rural Municipality,K.I. Singh
70609,Jorayal Rural Municipality,Jorayal
70605,Dipayal Silgadhi Urban Municipality,Dipayal Silgadhi
70601,Purbichauki Rural Municipality,Purbichauki
70608,Badi Kedar Rural Municipality,Badi Kedar
70607,Bogatan Phudsil Rural Municipality,Bogatan Chuha
70604,Shikhar Urban Municipality,Shikhar
70602,Sayal Rural Municipality,Sayal
70812,Kailari Rural Municipality,Kailari
70803,Godawari Urban Municipality,Godawari
70804,Gauriganga Urban Municipality,Gauriganga
70805,Ghodaghodi Urban Municipality,Ghodaghodi
70802,Chure Rural Municipality,Chure
70808,Janaki Rural Municipality,Janaki
70809,Joshipur Rural Municipality,Joshipur
70810,Tikapur Urban Municipality,Tikapur
70813,Dhangadhi Sub-Metropolitian City,Dhangadhi
70806,Bardagoriya Rural Municipality,Bardagoriya
70811,Bhajani Urban Municipality,Bhajani
70801,Mohanyal Rural Municipality,Mohanyal
70807,Lamki Chuha Urban Municipality,Lamki Chuha
70305,Apihimal Rural Municipality,Apihimal
70302,Duhun Rural Municipality,Duhun
70304,Naugad Rural Municipality,Naugad
70301,Byas Rural Municipality,Byas
70303,Mahakali Urban Municipality,Mahakali
70306,Marma Rural Municipality,Marma
70308,Malikarjun Rural Municipality,Malikarjun
70309,Lekam Rural Municipality,Lekam
70307,Shailyashikhar Urban Municipality,Shailyashikhar
70401,Dilasaini Rural Municipality,Dilasaini
70405,Dasharathchand Urban Municipality,Dasharathchand
70402,Dogada Kedar Rural Municipality,Dogada Kedar
70406,Pancheshwor Rural Municipality,Pancheshwor
70409,Patan Urban Municipality,Patan
70403,Puchaundi Urban Municipality,Puchaundi
70408,Melauli Urban Municipality,Melauli
70407,Shivanath Rural Municipality,Shivanath
70410,Sigas Rural Municipality,Sigas
70404,Surnaya Rural Municipality,Surnaya
70503,Ajayameru Rural Municipality,Ajayameru
70502,Amargadhi Urban Municipality,Amargadhi
70506,Aalital Rural Municipality,Aalital
70507,Ganyapdhura Rural Municipality,Ganyapdhura
70501,Nawadurga Rural Municipality,Nawadurga
70505,Parashuram Urban Municipality,Parashuram
70504,Bhageshwor Rural Municipality,Bhageshwor
70901,Krishnapur Urban Municipality,Krishnapur
70907,Punarbas Urban Municipality,Punarbas
70909,Beldandi Rural Municipality,Beldandi
70908,Belouri Urban Municipality,Belouri
70904,Bhimdatta Urban Municipality,Bhimdatta
70905,Mahakali Urban Municipality,Mahakali
70906,Laljhadi Rural Municipality,Laljhadi
70903,Bedkot Urban Municipality,Bedkot
70902,Shuklaphanta Urban Municipality,Shuklaphanta
