Lcode,MunicipalityName,GaPa_NaPa
10407,Sunkoshi Rural Municipality,Sunkoshi
11408,Udayapurgadhi Rural Municipality,Udayapurgadhi
11407,Katari Urban Municipality,Katari
11402,Chaudandigadhi Urban Municipality,Chaudandigadhi
11406,Tapli Rural Municipality,Tapli
11403,Triyuga Urban Municipality,Triyuga
11404,Rautamai Rural Municipality,Rautamai
11401,Belaka Urban Municipality,Belaka
11405,Limchungbung Rural Municipality,Limchungbung
20103,Agnisair Krishna Sabaran Rural Municipality,Agnisair Krishna
20102,Kanchanrup Urban Municipality,Kanchanrup
20106,Khadak Urban Municipality,Khadak
20118,Chhinnamasta Rural Municipality,Chhinnamasta
20110,Dakneshwori Urban Municipality,Dakneshwori
20115,Tirahut Rural Municipality,Tirahut
20117,Tilathi Koiladi Rural Municipality,Tilathi Koiladi
20111,Belhichepana Rural Municipality,Belhichepana
20109,Bode Barsain Urban Municipality,Bode Barsain
20114,Mahadewa Rural Municipality,Mahadewa
20113,Rajbiraj Municipality,Rajbiraj
20104,Rupani Rural Municipality,Rupani
20108,Balan-Bihul Rural Municipality,Balan-Bihul
20112,Bishnupur Rural Municipality,Bishnupur
20105,Shambhunath Urban Municipality,Shambhunath
20101,Saptakoshi Urban Municipality,Saptakoshi
20107,Surunga Urban Municipality,Surunga
20116,Hanumannagar Kankalini Urban Municipality,Hanumannagar Kankalini
20209,Arnama Rural Municipality,Arnama
20216,Aurahi Rural Municipality,Aurahi
20206,Kalyanpur Municipality,Kalyanpur
20203,Golbazar Urban Municipality,Golbazar
20202,Dhangadimai Urban Municipality,Dhangadimai
20207,Naraha Rural Municipality,Naraha
20214,Nawarajpur Rural Municipality,Nawarajpur
20215,Bariyarpatti Rural Municipality,Bariyarpatti
20213,Bhagawanpur Rural Municipality,Bhagawanpur
20204,Mirchaiya Urban Municipality,Mirchaiya
20211,Laxmipur Patari Rural Municipality,Laxmipur Patari
20201,Lahan Municipality,Lahan
20208,Bishnupur Rural Municipality,Bishnupur
20212,Sakhuwanankarkatti  Municipality,Sakhuwanankarkatti
20217,Siraha Municipality,Siraha
20210,Sukhipur Municipality,Sukhipur
20205,Karjanha Urban Municipality,Karjanha
20314,Aurahi Rural Municipality,Aurahi
20311,Kamala Urban Municipality,Kamala
20305,Chhireshwornath Urban Municipality,Chhireshwornath
20301,Ganeshman Charnath Urban Municipality,Ganeshman Charnath
20312,Janak Nandini Rural Municipality,Janak Nandini
20315,Janakpurdham Sub-Metropolitian City,Janakpurdham
20302,Dhanushadham Urban Municipality,Dhanushadham
20316,Dhanauji Rural Municipality,Dhanauji
20317,Nagarain Urban Municipality,Nagarain
20304,Bateshwor Rural Municipality,Bateshwor
20303,Mithila Urban Municipality,Mithila
20307,Mithila Bihari Urban Municipality,Mithila Bihari
20318,Mukhiyapatti Musaharmiya Rural Municipality,Mukhiyapatti Musaharmiya
20306,Laxminiya Rural Municipality,Laxminiya
20313,Bideha Urban Municipality,Bideha
20310,Shahidnagar Urban Municipality,Shahidnagar
20309,Sabaila Urban Municipality,Sabaila
20308,Hanspur Urban Municipality,Hanspur
20402,Gaushala Urban Municipality,Gaushala
20415,Jaleshwor Urban Municipality,Jaleshwor
20413,Pipara Rural Municipality,Pipara
20412,Mahottari Rural Municipality,Mahottari
20409,Samsi Rural Municipality,Samsi
20403,Sonama Rural Municipality,Sonama
20411,Ekadara Rural Municipality,Ekadara
20404,Aurahi Urban Municipality,Aurahi
20401,Bardibas Urban Municipality,Bardibas
20407,Balawa Urban Municipality,Balawa
20405,Bhagaha Urban Municipality,Bhagaha
20414,Matihani Urban Municipality,Matihani
20410,Manara Sisaba Urban Municipality,Manara Sisaba
20408,Ramgopalpur Urban Municipality,Ramgopalpur
20406,Loharpatti Urban Municipality,Loharpatti
20506,Ishworpur Urban Municipality,Ishworpur
20510,Chandranagar Rural Municipality,Chandranagar
20504,Barahathawa Urban Municipality,Barahathawa
20503,Bagmati Urban Municipality,Bagmati
20520,Malangawa Urban Municipality,Malangawa
20501,Lalbandi Urban Municipality,Lalbandi
20502,Hariban Urban Municipality,Hariban
20511,Kabilashi Urban Municipality,Kabilashi
20519,Kaudena Rural Municipality,Kaudena
20517,Godaita Urban Municipality,Godaita
20512,Chakraghatta Rural Municipality,Chakraghatta
20514,Dhankaul Rural Municipality,Dhankaul
20508,Parsa Rural Municipality,Parsa
20516,Balara Urban Municipality,Balara
20513,Basbariya Rural Municipality,Basbariya
20509,Brahmapuri Rural Municipality,Brahmapuri
20515,Ramnagar Rural Municipality,Ramnagar
20518,Bishnu Rural Municipality,Bishnu
20505,Haripur Urban Municipality,Haripur
20507,Haripurwa Urban Municipality,Haripurwa
20608,Garuda Urban Municipality,Garuda
20601,Chandrapur Urban Municipality,Chandrapur
20618,Ishanath Urban Municipality,Ishanath
20604,Katahariya Urban Municipality,Katahariya
20606,Gadhimai Urban Municipality,Gadhimai
20602,Gujara Urban Municipality,Gujara
20617,Gaur Urban Municipality,Gaur
20615,Durga Bhagawati Rural Municipality,Durga Bhagawati
